magnitude,location,longitude,latitude
1.31,12 km NNE of Terrace Heights,-120.371,46.7105
2.08,4 km SSW of Union City,-97.96,35.355
4.9,south of the Fiji Islands,-176.625,-26.566
2,6 km SSW of Pāhala,-155.501998901367,19.1526660919189
1.6,52 km WNW of Valdez,-147.2156,61.3408
1.21,4 km WNW of Green Acres,-117.1078333,33.7548333
2.45,24 km SW of Lamont,-119.097,35.1076667
1,12 km SW of Valdez,-146.536,61.0649
1.5,52 km NW of Toyah,-104.25,31.587
1.53,11 km ENE of Kanarraville,-113.061166666667,37.5591666666667
0.3,9 km WNW of Cobb,-122.81916809082,38.8465003967285
1.34,9 km WNW of Cobb,-122.82,38.84
0.92,9 km WNW of Cobb,-122.82,38.85
4.4,Greenland Sea,9.6382,74.6286
1.43,22 km NNE of Nipomo,-120.3453333,35.2118333
-0.87,61 km ENE of Pedro Bay,-153.111,60.021
0.78,6 km NW of The Geysers,-122.82,38.81
0.6,7 km E of Lazy Mountain,-148.807,61.6136
1.1,36 km NE of Whittier,-148.3135,61.0453
1.36,5 km NNE of Tres Pinos,-121.3,36.84
0.76,1 km SW of The Geysers,-122.76,38.77
1.08,0 km NNW of The Geysers,-122.76,38.78
0.81,7 km WNW of Palomar Observatory,-116.9241667,33.3883333
1.49,14 km SE of Glacier,-121.835,48.786833333333334
1.77,14 km S of Volcano,-155.257339477539,19.3104991912842
1.29,5 km NW of Cobb,-122.77,38.84
3.29,13 km NE of Hildale,-112.847833333333,37.0811666666667
1.42,4 km SW of Union City,-97.9695,35.35933333
-0.1,21 km W of Dutch Harbor,-166.869166666667,53.8638333333333
1.35,8 km WNW of Cobb,-122.81,38.85
1.09,9 km WNW of Cobb,-122.82,38.84
1.1,7 km WSW of Calimesa,-117.1236667,33.9666667
0.62,11 km ENE of Ashford,-121.89083333333333,46.787333333333336
0.8,0 km NNW of The Geysers,-122.76,38.78
0.8,109 km S of McCarthy,-143.0416,60.4529
1.19,10 km ENE of Kanarraville,-113.067,37.5626666666667
1.94,7 km WNW of Lakeland Village,-117.407,33.671
0.92,9 km SW of Idyllwild,-116.7926667,33.6863333
0.71,6 km SE of Gaston,-123.07983333333334,45.397666666666666
1.87,6 km WNW of Lakeland Village,-117.4028333,33.6711667
4.7,86 km SE of Pangai,-173.8046,-20.3946
1.37,4 km SSW of Union City,-97.958,35.35583333
2.95,7 km WNW of Lake Elsinore,-117.3981667,33.6813333
3.61,6 km NW of Lakeland Village,-117.3981667,33.674
1.2,31 km E of Denali National Park,-151.0843,63.5298
1.21,4 km NNW of Minco,-97.96133333,35.34883333
2.6,6 km S of Volcano,-155.2455,19.3875
3.86,49 km N of Cruz Bay,-64.736,18.7776
0.78,8 km ESE of Ridgecrest,-117.5958333,35.5986667
1.5,25 km SE of Skwentna,-151.088,61.8185
0.6,8 km NNW of Indian Springs,-115.7141,36.6358
2.5,53 km S of Whites City,-104.483,31.7
1.4,53 km NNW of Petersville,-151.264,62.9196
1,6 km NW of Harding-Birch Lakes,-146.6786,64.4196
1.35,61 km WSW of Nikolski,-169.749,52.8065
1.86,4 km S of Pāhala,-155.481674194336,19.1618328094482
1.3,58 km NNE of Petersville,-150.361,62.9919
1.4,66 km WNW of Rampart,-151.3847,65.8249
2.14,2 km SW of Honomu,-155.135330200195,19.8595008850098
4.5,56 km SSE of Yonakuni,123.1573,23.9788
1.04,7 km WNW of Cobb,-122.8,38.84
2.75,3 km NW of Mayagüez,-67.1611666666667,18.2221666666667
0.4,7 km WNW of Cobb,-122.8,38.83
2.2,20 km ESE of Christine,-98.29,28.75
1.5,15 km ENE of Fox,-147.3009,64.9984
2.22,4 km  of Pinnacles,-121.15,36.56
0.5,8 km ENE of Floriston,-119.9222,39.4195
0.13,34 km NE of Amboy,-122.14083333333333,46.14
1.9,57 km S of Whites City,-104.309,31.661
2.23,61 km WSW of Nikolski,-169.748666666667,52.8245
1.44,60 km WSW of Nikolski,-169.743,52.8226666666667
1.32,62 km WSW of Nikolski,-169.764333333333,52.8068333333333
1.2,32 km SW of Tatitlek,-147.0727,60.643
1.28,6 km SW of Gilroy,-121.61,36.97
1.18,4 km S of Highland Park,-118.2011667,34.0865
2.14,2 km ESE of Puerto Real,-67.1643333333333,18.0608333333333
-0.51,64 km ENE of Pedro Bay,-153.0855,60.0563333333333
1.27,22 km E of Little Lake,-117.6603333,35.963
2.3,67 km W of Clear,-150.5808,64.2012
0.9500000000000001,24 km S of Morton,-122.25716666666666,46.334
3.5,49 km N of Valdez,-146.3057,61.5754
2.85,6 km S of Volcano,-155.2385,19.3851666666667
0.7,5 km NNW of West Valley City,-112.033,40.732
1.73,7 km S of Volcano,-155.222671508789,19.3729991912842
1.6,55 km S of Whites City,-104.395,31.674
5.3,31 km S of Lae,147.0471,-7.0075
1.08,4 km NNE of La Verne,-117.7436667,34.1346667
1.57,21 km NW of Grapevine,-119.0768333,35.0871667
1.5,31 km WNW of Valdez,-146.8728,61.2549
2.28,1 km SE of Pepeekeo,-155.097839355469,19.820499420166
1.7,47 km SSE of Nelchina,-146.4658,61.587
1.44,10 km S of Fern Forest,-155.146833333333,19.3713333333333
1.9,54 km S of Whites City,-104.397,31.68
2.8,16 km SW of Rotan,-100.613,32.767
1.1,2 km N of The Geysers,-122.76,38.79
1.66,8 km NW of Julian,-116.649,33.1363333
1.82000005,13 km ENE of Pāhala,-155.358505249023,19.246000289917
1.1,4 km SSE of Salcha,-146.8474,64.4867
1.2,32 km WNW of Happy Valley,-152.2791,60.0402
5,116 km S of Kokopo,152.2097,-5.3914
2.2,65 km NNE of Petersville,-150.3916,63.0547
4.6,96 km E of Hihifo,-172.9039,-15.8694
0.66,61 km SE of Pedro Bay,-153.4345,59.3583333333333
1.3,62 km WNW of Ninilchik,-152.7535,60.1883
1.1,20 km ENE of Cantwell,-148.571,63.4713
1.2,11 km W of Anchor Point,-152.0428,59.7762
1.15,8 km NNW of Borrego Springs,-116.4145,33.3148333
1.48,14 km SW of Searles Valley,-117.5205,35.6833333
2,24 km E of Christine,-98.246,28.748
0.6,9 km NW of Indian Springs,-115.7429,36.6375
4.5,5 km N of Hadano,139.2285,35.419
2.55,24 km E of Maricopa,-119.1375,35.0805
2.3,21 km ESE of Christine,-98.283,28.739
1.75,10 km SW of Salton City,-116.0411667,33.24
1.1,38 km NNE of Whittier,-148.3885,61.0891
0.97,10 km NE of San Martin,-121.54,37.16
0.51,11 km N of Borrego Springs,-116.366,33.3546667
0.68,10 km N of Borrego Springs,-116.3696667,33.3505
1.77,24 km E of Maricopa,-119.1375,35.084
1.4,12 km SW of Skwentna,-151.5728,61.9208
4.4,95 km SSE of Maumere,122.6856,-9.3456
1.05,20 km E of Little Lake,-117.6866667,35.9475
1.82000005,5 km SW of Pāhala,-155.51383972168,19.1683330535889
3.18,15 km SSE of Waynoka,-98.80283333,36.46116667
1.8,22 km E of Christine,-98.271,28.763
1.36,6 km ENE of Puebla,-115.2995,32.5831667
0.22,8 km WNW of Cobb,-122.81,38.84
1.6,44 km NW of Toyah,-104.104,31.61
2.24,3 km SSW of Pāhala,-155.48567199707,19.1720008850098
1.35,15 km NE of Siletz,-123.75866666666667,44.799
-1.15,62 km ENE of Pedro Bay,-153.0945,60.016
0.7,18 km NW of Silver Peak,-117.7937,37.8668
1.84,24 km NW of Grapevine,-119.0998333,35.103
0.84,9 km SW of Salton City,-116.0286667,33.2485
1.44,13 km ENE of Ridgecrest,-117.5391667,35.6611667
1.4,22 km ESE of Christine,-98.277,28.737
-0.68,100 km S of Kokhanok,-154.446,58.5528333333333
2.28,45 km E of Halls Crossing,-110.200333333333,37.4916666666667
1.38,24 km NW of Grapevine,-119.1151667,35.0985
1.08,4 km NNW of Muscoy,-117.3521667,34.1856667
1.2,23 km WNW of Beluga,-151.451,61.2556
4.6,40 km SSE of Yilan,121.898,24.4135
1.2,16 km SE of Susitna North,-149.6381,62.0488
0.94,7 km WNW of Cobb,-122.8,38.84
1.1,7 km WNW of Cobb,-122.8,38.83
1.91,11 km SE of Volcano,-155.164166666667,19.363
0.92,9 km S of Fern Forest,-155.133833333333,19.38
5.4,44 km SSE of Yilan,121.9167,24.3858
1.01,14 km W of Lytle Creek,-117.644,34.2371667
1.5,39 km NW of Chenega,-148.5548,60.2968
0.75,9 km NW of The Geysers,-122.84,38.82
0.79,10 km SW of Salton City,-116.0366667,33.2403333
0.8,51 km W of Anchor Point,-152.7392,59.7305
1.91,23 km W of Volcano,-155.461166381836,19.4484996795654
2.01,0 km WSW of Pāhala,-155.485000610352,19.1989994049072
-0.2,12 km NW of Indian Springs,-115.7774,36.6372
0.3,10 km NNW of Indian Springs,-115.7279,36.6529
0.96,20 km E of Little Lake,-117.6795,35.9428333
1.46,2 km NNE of The Geysers,-122.75,38.8
0.59,12 km SSW of Idyllwild,-116.7655,33.6443333
1.9,44 km WSW of Tatitlek,-147.4158,60.695
1.34,4 km N of Hollister,-121.41,36.89
1.15,10 km SW of Salton City,-116.0343333,33.2373333
1.74,14 km SSE of Fern Forest,-155.075668334961,19.3481674194336
0.71,9 km WNW of Cobb,-122.83,38.84
-0.1,38 km WNW of Indian Springs,-116.0694,36.6918
1.5,4 km NNW of Nordheim,-97.626,28.957
0.3,7 km NW of Indian Springs,-115.7279,36.6198
2.21000004,11 km SSE of Volcano,-155.204498291016,19.3471660614014
1.08,0 km ENE of The Geysers,-122.76,38.78
1.83,9 km SSE of Carmel By The Sea,-121.86,36.49
0.65,7 km NW of The Geysers,-122.82,38.82
1.2,40 km NW of Beatty,-117.1221,37.1217
0.26,4 km SE of Quilcene,-122.8405,47.79233333333333
1.2,43 km SSE of Denali National Park,-151.3298,63.1966
0.75,6 km WNW of Borrego Springs,-116.4306667,33.2741667
-0.35,94 km WNW of Aleneva,-154.336166666667,58.46
1.32,4 km N of Hollister,-121.41,36.89
3.2,10 km ENE of Ipís,-83.9366,10.0189
0.49,21 km ESE of Anza,-116.4603333,33.4853333
4.4,170 km NE of Lospalos,128.1906,-7.5446
0.99,8 km S of Idyllwild,-116.7278333,33.6711667
0.4,10 km N of Pahrump,-115.9946,36.2999
0.28,6 km S of Idyllwild,-116.7251667,33.6911667
0.65,7 km S of Idyllwild,-116.7246667,33.6763333
1.38,23 km NW of Grapevine,-119.0901667,35.1053333
0.92,28 km ENE of Seeley Lake,-113.152666666667,47.3016666666667
1.83,9 km SE of Volcano,-155.171340942383,19.3754997253418
2.7,13 km S of Atoka,-104.3987,32.6522
1.06,5 km WNW of San Juan Bautista,-121.6,36.86
1.3,46 km S of Beaver,-147.4255,65.9395
4.2,145 km NE of Diego de Almagro,-68.8556,-25.6384
1.9,34 km ENE of Port Alsworth,-153.7181,60.2752
4.1,50 km SSE of Jurm,71.0376,36.4355
0.75,24 km N of Amboy,-122.50016666666667,46.12883333333333
1.74,8 km SSE of Volcano,-155.189834594727,19.3759994506836
2.6,14 km S of Atoka,-104.3851,32.6357
1.01,9 km SW of Salton City,-116.033,33.2448333
2.32999992,12 km NE of Pāhala,-155.386840820312,19.2674999237061
4.5,58 km ENE of Nishinoomote,131.5358,30.9965
1.56,22 km NW of Grapevine,-119.097,35.0846667
0.2,10 km NW of Indian Springs,-115.7415,36.6433
1.46,19 km NW of Grapevine,-119.0501667,35.0845
3,6 km S of Volcano,-155.2449,19.386
3.32,6 km SSW of Volcano,-155.247166666667,19.3891666666667
0.77,7 km NW of The Geysers,-122.81,38.82
3.42,6 km S of Volcano,-155.237333333333,19.3841666666667
-0.72,95 km N of Karluk,-154.574166666667,58.4283333333333
1,57 km WNW of Karluk,-155.2865,57.8293
1.85000002,5 km NNW of Pāhala,-155.491165161133,19.2543334960938
1.8,56 km S of Whites City,-104.445,31.67
1.6,41 km NNW of Glacier View,-147.817,62.1714
1.4,10 km NW of Indian Springs,-115.7412,36.6404
1.16,10 km SW of Salton City,-116.0423333,33.2376667
1.79,6 km WNW of Tiptonville,-89.5368333333333,36.397
1.87,4 km SSW of Union City,-97.9645,35.35733333
1.8,2 km WSW of Nordheim,-97.638,28.913
1.08,7 km NNW of The Geysers,-122.8,38.82
1.71000004,10 km SE of Volcano,-155.179504394531,19.367166519165
4,9 km N of Babino Polje,17.577,42.8137
1.9000000000000001,17 km SW of Ashland,-122.85816666666666,42.0865
0.88,10 km SW of Salton City,-116.0421667,33.2448333
-0.83,64 km ENE of Pedro Bay,-153.084333333333,60.0503333333333
0.99,18 km ESE of Julian,-116.4118333,33.0335
1.2,10 km NNW of Tanaina,-149.5138,61.7095
1.7,3 km SSW of Pāhala,-155.488333333333,19.1718333333333
4.5,265 km WNW of Houma,-177.6785,-20.3057
1.5,36 km NNW of Toyah,-103.965,31.607
1.9,37 km S of Goldfield,-117.2001,37.3688
1.37,23 km SW of Lamont,-119.0888333,35.114
0.8200000000000001,4 km SSE of Quilcene,-122.841,47.78516666666667
0.66,5 km WNW of Borrego Springs,-116.4293333,33.269
0.46,10 km SW of Salton City,-116.0426667,33.2441667
0.33,4 km NNW of Minco,-97.96266667,35.35116667
1.39,16 km SSE of Kelly,-110.511333333333,43.4938333333333
1.64,20 km E of Little Lake,-117.6851667,35.9145
0.5,8 km WNW of Cobb,-122.81,38.83
0.63,12 km WNW of Anza,-116.804,33.5853333
1.98000002,9 km ENE of Pāhala,-155.390502929688,19.2264995574951
1.8,58 km S of Whites City,-104.308,31.655
1.74,16 km E of Oak City,-112.145333333333,39.3926666666667
1.19,15 km NW of Coso Junction,-118.051,36.1508333
1.64,3 km SSW of Union City,-97.95566667,35.35783333
4.5,45 km SSW of Calingasta,-69.6187,-31.705
2,7 km SSE of Volcano,-155.219497680664,19.3746662139893
1.73,9 km ESE of Pāhala,-155.400666666667,19.1586666666667
2.1,22 km WSW of Coyanosa,-103.269,31.144
1.7,6 km NW of Minco,-97.99883333,35.346
0.58,6 km WSW of Anza,-116.7353333,33.5271667
0.4,7 km NNW of Indian Springs,-115.7093,36.6307
1.4,45 km E of Denali National Park,-150.8024,63.5624
2.9,9 km NW of Indian Springs,-115.7304,36.6373
1.46,7 km WSW of Tiptonville,-89.5545,36.353
1.2,62 km WSW of Nanwalek,-152.9433,59.1432
1.78,5 km NW of Boron,-117.682,35.0331667
2.05999994,6 km S of Pāhala,-155.482498168945,19.144832611084
1.07,8 km NNW of The Geysers,-122.82,38.83
-0.1,29 km NNW of Sutcliffe,-119.6889,40.2033
1.11,9 km SW of Salton City,-116.0345,33.2453333
0.8,8 km NW of Fox,-147.7443,65.0097
0.58,153 km W of Adak,-178.854333333333,51.7978333333333
4.2,56 km SSE of Phek,94.6391,25.1732
1.7,29 km SSE of Midland,-101.924,31.764
0.97,3 km NNW of Minco,-97.95366667,35.3475
1.19,6 km WNW of Minco,-98.0005,35.34216667
0.37,85 km NW of Karluk,-155.346,58.1681666666667
1.6,36 km NNW of Toyah,-103.973,31.608
0,8 km ENE of Floriston,-119.9256,39.4194
0,83 km NW of Karluk,-155.329833333333,58.1598333333333
1.7,30 km ESE of Denali National Park,-151.1435,63.4497
1.9,36 km NNW of Toyah,-103.976,31.609
1.64,24 km NW of Grapevine,-119.129,35.0886667
2.0999999,2 km SW of Pāhala,-155.491165161133,19.1860008239746
0.29,63 km W of Tyonek,-152.310833333333,61.0455
1.8,4 km NNW of Nordheim,-97.626,28.955
0.93,10 km SW of Salton City,-116.0363333,33.2405
1.22,10 km SW of Salton City,-116.0376667,33.239
1.3,10 km WNW of Fishhook,-149.4133,61.7873
1.33,2 km NW of The Geysers,-122.78,38.79
0.9,9 km SW of Salton City,-116.0338333,33.2446667
1.9,55 km S of Whites City,-104.473,31.68
4.9,160 km SSW of Lakatoro,166.7567,-17.4009
2.2,7 km SW of Volcano,-155.277166666667,19.3928333333333
1.15,1 km W of The Geysers,-122.76,38.78
1.4,22 km NW of Skwentna,-151.7484,62.1128
0.77,69 km WNW of Nikiski,-152.458666666667,60.9398333333333
4.2,107 km ESE of Madang,146.7301,-5.4518
2.83,7 km SW of Volcano,-155.277333333333,19.3906666666667
1.3,44 km NW of Ninilchik,-152.3295,60.2766
4.3,7 km NNE of Rizo de Oro,-92.4676,16.0407
0.79,9 km SW of Salton City,-116.0351667,33.2525
1.3,61 km NNW of Petersville,-151.0168,63.0334
1.4,15 km NE of Walker Lake,-118.6476,38.7646
1.06,16 km SW of Searles Valley,-117.5066667,35.6545
0.38,68 km SSW of Ugashik,-157.7715,56.93
0.89,16 km N of Borrego Springs,-116.3658333,33.3986667
0.7,7 km WNW of Cobb,-122.8,38.84
1.34,7 km WNW of Cobb,-122.8,38.84
1,2 km ESE of Home Gardens,-117.5055,33.8713333
1,67 km SE of Denali National Park,-150.6292,63.1794
4.7,40 km S of Jurm,70.8718,36.5029
1,27 km WNW of Beluga,-151.5422,61.254
1.4,6 km ESE of Chula Vista,-116.9918333,32.5988333
1.71000004,1 km WNW of Pāhala,-155.496170043945,19.2064990997314
2.31,10 km ENE of Pāhala,-155.392837524414,19.2571659088135
0.51,12 km SSE of Anza,-116.6228333,33.4526667
2.07,10 km ENE of Pāhala,-155.39582824707,19.2553329467773
2.07,9 km ENE of Pāhala,-155.397506713867,19.2316665649414
2.2,70 km W of Clear,-150.6246,64.1988
3.28,24 km NW of Grapevine,-119.1086667,35.1026667
1.91,17 km ESE of Anza,-116.4978333,33.507
1.89,4 km SE of Lower Lake,-122.57,38.89
1.9,17 km NNE of Hermleigh,-100.672,32.777
1.3,2 km NNE of Lindsay,-103.532,31.387
1.76,8 km WSW of Cloverdale,-123.1,38.77
1.75,20 km E of Little Lake,-117.6821667,35.9435
0.1,8 km NW of Indian Springs,-115.7387,36.6176
0.48,89 km W of Adak,-177.936333333333,51.853
1.41,13 km WSW of Quinton,-95.5135,35.08733333
2.6,21 km E of Little Lake,-117.6775,35.9421667
1.4,10 km NW of Indian Springs,-115.7494,36.6385
0.33,12 km NNE of Atka,-174.163333333333,52.3083333333333
0.37,88 km W of Adak,-177.919166666667,51.86
1.22,14 km ESE of Crowder,-95.523,35.08683333
1.9,4 km S of Pāhala,-155.483505249023,19.1663341522217
1.83000004,9 km ENE of Pāhala,-155.395492553711,19.2363338470459
2.03999996,10 km ENE of Pāhala,-155.393661499023,19.2463340759277
0.96,10 km SW of Salton City,-116.0408333,33.2443333
1.65,23 km E of Little Lake,-117.6581667,35.9665
3.69,10 km ENE of Pāhala,-155.396166666667,19.2516666666667
5,103 km SW of Pelabuhanratu,106.0258,-7.7619
1.5,49 km SE of Port Graham,-151.1761,59.0535
2.46,23 km E of Little Lake,-117.6575,35.9638333
0.66,12 km NNW of Borrego Springs,-116.4131667,33.3621667
1.08,8 km NNW of The Geysers,-122.82,38.83
1.4000000000000001,3 km SSW of Tualatin,-122.78383333333333,45.3515
1.42,12 km E of Little Lake,-117.7703333,35.921
2.3,53 km WNW of Beaver,-148.4955,66.558
1.26,4 km SE of Owasso,-95.82433333,36.2355
1.5,4 km W of Walker,-119.5247,38.522
0.82,9 km SW of Salton City,-116.0375,33.249
1.08,62 km WSW of Nikolski,-169.759666666667,52.8061666666667
1.77,64 km WSW of Nikolski,-169.778,52.7806666666667
1.2,39 km E of McKinney Acres,-102.121,32.37
0.6,9 km SW of Idyllwild,-116.7888333,33.6845
0.88,63 km WSW of Nikolski,-169.771166666667,52.7976666666667
1.28,Oklahoma,-97.96166667,35.35
0.04,38 km NNE of Amboy,-122.19333333333333,46.20433333333333
0.72,17 km W of Searles Valley,-117.5903333,35.7665
1.93,1 km W of San Ramon,-121.99,37.78
1.06,17 km SW of Lamont,-119.025,35.1361667
2.09,1 km W of San Ramon,-121.99,37.78
1.04,7 km WNW of Cobb,-122.81,38.84
0.54,8 km NNE of Ashford,-121.9835,46.82816666666667
0.5,1 km ESE of Carnelian Bay,-120.0708,39.2218
5,224 km SSW of Kawalu,107.723,-9.3494
0.49,18 km ESE of Anza,-116.4853333,33.5173333
0.7,8 km NNW of Indian Springs,-115.7245,36.6358
0.2,9 km NW of Indian Springs,-115.7321,36.6415
1.83,9 km S of Fern Forest,-155.120666503906,19.380500793457
1.38,1 km WSW of San Ramon,-121.99,37.78
1.02,61 km WSW of Nikolski,-169.757,52.8241666666667
1.11,62 km WSW of Nikolski,-169.7505,52.788
1.18,62 km WSW of Nikolski,-169.7435,52.7558333333333
1.45,1 km SW of San Ramon,-121.98,37.77
0.72,9 km SW of Salton City,-116.0308333,33.2478333
